time_iso8601,forks_cumulative
2020-04-29 00:00:00+00:00,614
2020-05-02 00:00:00+00:00,615
2020-05-03 00:00:00+00:00,616
2020-05-04 00:00:00+00:00,618
2020-05-05 00:00:00+00:00,619
2020-05-07 00:00:00+00:00,620
2020-05-08 00:00:00+00:00,621
2020-05-09 00:00:00+00:00,622
2020-05-10 00:00:00+00:00,623
2020-05-12 00:00:00+00:00,625
2020-05-13 00:00:00+00:00,626
2020-05-15 00:00:00+00:00,627
2020-05-16 00:00:00+00:00,628
2020-05-17 00:00:00+00:00,629
2020-05-18 00:00:00+00:00,630
2020-05-19 00:00:00+00:00,632
2020-05-22 00:00:00+00:00,633
2020-05-25 00:00:00+00:00,634
2020-05-27 00:00:00+00:00,635
2020-05-30 00:00:00+00:00,638
2020-06-02 00:00:00+00:00,639
2020-06-04 00:00:00+00:00,641
2020-06-05 00:00:00+00:00,643
2020-06-06 00:00:00+00:00,644
2020-06-10 00:00:00+00:00,645
2020-06-14 00:00:00+00:00,646
2020-06-16 00:00:00+00:00,648
2020-06-21 00:00:00+00:00,649
2020-06-24 00:00:00+00:00,650
2020-06-25 00:00:00+00:00,651
2020-06-26 00:00:00+00:00,652
2020-06-30 00:00:00+00:00,653
2020-07-01 00:00:00+00:00,655
2020-07-02 00:00:00+00:00,658
2020-07-05 00:00:00+00:00,659
2020-07-07 00:00:00+00:00,660
2020-07-08 00:00:00+00:00,661
2020-07-12 00:00:00+00:00,662
2020-07-13 00:00:00+00:00,665
2020-07-14 00:00:00+00:00,667
2020-07-20 00:00:00+00:00,669
2020-07-21 00:00:00+00:00,671
2020-07-23 00:00:00+00:00,673
2020-07-28 00:00:00+00:00,674
2020-08-04 00:00:00+00:00,676
2020-08-05 00:00:00+00:00,677
2020-08-08 00:00:00+00:00,678
2020-08-10 00:00:00+00:00,679
2020-08-13 00:00:00+00:00,682
2020-08-18 00:00:00+00:00,683
2020-08-21 00:00:00+00:00,684
2020-08-22 00:00:00+00:00,685
2020-08-26 00:00:00+00:00,686
2020-08-28 00:00:00+00:00,687
2020-08-30 00:00:00+00:00,688
2020-08-31 00:00:00+00:00,689
2020-09-15 00:00:00+00:00,690
2020-09-17 00:00:00+00:00,691
2020-09-18 00:00:00+00:00,693
2020-09-21 00:00:00+00:00,694
2020-09-22 00:00:00+00:00,695
2020-10-12 00:00:00+00:00,697
2020-10-15 00:00:00+00:00,698
2020-10-16 00:00:00+00:00,699
2020-10-17 00:00:00+00:00,700
2020-10-20 00:00:00+00:00,701
2020-10-23 00:00:00+00:00,702
2020-10-24 00:00:00+00:00,703
2020-10-27 00:00:00+00:00,704
2020-11-04 00:00:00+00:00,705
2020-11-06 00:00:00+00:00,707
2020-11-07 00:00:00+00:00,708
2020-11-17 00:00:00+00:00,709
2020-11-18 00:00:00+00:00,711
2020-11-20 00:00:00+00:00,712
2020-11-21 00:00:00+00:00,713
2020-11-23 00:00:00+00:00,715
2020-11-25 00:00:00+00:00,716
2020-12-02 00:00:00+00:00,717
2020-12-03 00:00:00+00:00,718
2020-12-05 00:00:00+00:00,720
2020-12-07 00:00:00+00:00,723
2020-12-08 00:00:00+00:00,724
2020-12-09 00:00:00+00:00,727
2020-12-10 00:00:00+00:00,728
2020-12-11 00:00:00+00:00,731
2020-12-12 00:00:00+00:00,732
2020-12-13 00:00:00+00:00,733
2020-12-21 00:00:00+00:00,734
2020-12-22 00:00:00+00:00,735
2020-12-23 00:00:00+00:00,736
2020-12-31 00:00:00+00:00,738
2021-01-02 00:00:00+00:00,739
2021-01-04 00:00:00+00:00,740
2021-01-05 00:00:00+00:00,741
2021-01-07 00:00:00+00:00,742
2021-01-08 00:00:00+00:00,743
2021-01-09 00:00:00+00:00,744
2021-01-12 00:00:00+00:00,745
2021-01-13 00:00:00+00:00,746
2021-01-16 00:00:00+00:00,747
2021-01-21 00:00:00+00:00,748
2021-01-24 00:00:00+00:00,749
2021-01-27 00:00:00+00:00,750
2021-01-31 00:00:00+00:00,751
2021-02-02 00:00:00+00:00,753
2021-02-05 00:00:00+00:00,754
2021-02-07 00:00:00+00:00,756
2021-02-10 00:00:00+00:00,758
2021-02-11 00:00:00+00:00,760
2021-02-12 00:00:00+00:00,761
2021-02-20 00:00:00+00:00,763
2021-02-21 00:00:00+00:00,764
2021-02-23 00:00:00+00:00,765
2021-02-24 00:00:00+00:00,766
2021-02-26 00:00:00+00:00,768
2021-02-28 00:00:00+00:00,769
2021-03-02 00:00:00+00:00,770
2021-03-03 00:00:00+00:00,772
2021-03-04 00:00:00+00:00,773
2021-03-08 00:00:00+00:00,774
2021-03-14 00:00:00+00:00,775
2021-03-16 00:00:00+00:00,776
2021-03-19 00:00:00+00:00,777
2021-03-21 00:00:00+00:00,779
2021-03-29 00:00:00+00:00,781
2021-03-30 00:00:00+00:00,782
2021-03-31 00:00:00+00:00,783
2021-04-01 00:00:00+00:00,784
2021-04-02 00:00:00+00:00,785
2021-04-05 00:00:00+00:00,786
2021-04-06 00:00:00+00:00,787
2021-04-07 00:00:00+00:00,788
2021-04-08 00:00:00+00:00,789
2021-04-12 00:00:00+00:00,790
2021-04-14 00:00:00+00:00,791
2021-04-17 00:00:00+00:00,792
2021-04-18 00:00:00+00:00,793
2021-04-20 00:00:00+00:00,794
2021-04-26 00:00:00+00:00,795
2021-04-27 00:00:00+00:00,796
2021-05-02 00:00:00+00:00,797
2021-05-04 00:00:00+00:00,799
2021-05-05 00:00:00+00:00,801
2021-05-09 00:00:00+00:00,802
2021-05-10 00:00:00+00:00,803
2021-05-14 00:00:00+00:00,805
2021-05-15 00:00:00+00:00,806
2021-05-17 00:00:00+00:00,807
2021-05-20 00:00:00+00:00,808
2021-05-21 00:00:00+00:00,809
2021-05-29 00:00:00+00:00,810
2021-06-09 00:00:00+00:00,811
2021-06-10 00:00:00+00:00,812
2021-06-15 00:00:00+00:00,814
2021-06-20 00:00:00+00:00,815
2021-06-30 00:00:00+00:00,816
2021-07-06 00:00:00+00:00,817
2021-07-07 00:00:00+00:00,819
2021-07-08 00:00:00+00:00,821
2021-07-11 00:00:00+00:00,823
2021-07-15 00:00:00+00:00,824
2021-07-20 00:00:00+00:00,825
2021-07-23 00:00:00+00:00,826
2021-07-27 00:00:00+00:00,827
2021-08-05 00:00:00+00:00,828
2021-08-10 00:00:00+00:00,830
2021-08-12 00:00:00+00:00,832
2021-08-13 00:00:00+00:00,834
2021-08-17 00:00:00+00:00,835
2021-08-24 00:00:00+00:00,836
2021-08-27 00:00:00+00:00,837
2021-09-01 00:00:00+00:00,839
2021-09-03 00:00:00+00:00,841
2021-09-08 00:00:00+00:00,842
2021-09-10 00:00:00+00:00,843
2021-09-14 00:00:00+00:00,844
2021-09-17 00:00:00+00:00,845
2021-09-18 00:00:00+00:00,846
2021-09-21 00:00:00+00:00,847
2021-09-22 00:00:00+00:00,848
2021-10-02 00:00:00+00:00,849
2021-10-05 00:00:00+00:00,850
2021-10-07 00:00:00+00:00,851
2021-10-09 00:00:00+00:00,853
2021-10-11 00:00:00+00:00,856
2021-10-12 00:00:00+00:00,858
2021-10-13 00:00:00+00:00,859
2021-10-14 00:00:00+00:00,860
2021-10-15 00:00:00+00:00,864
2021-10-17 00:00:00+00:00,865
2021-10-19 00:00:00+00:00,866
2021-10-22 00:00:00+00:00,867
2021-10-23 00:00:00+00:00,868
2021-10-24 00:00:00+00:00,869
2021-11-03 00:00:00+00:00,870
2021-11-07 00:00:00+00:00,871
2021-11-10 00:00:00+00:00,872
2021-11-12 00:00:00+00:00,873
2021-11-22 00:00:00+00:00,874
2021-11-23 00:00:00+00:00,875
2021-11-29 00:00:00+00:00,876
2021-12-01 00:00:00+00:00,878
2021-12-02 00:00:00+00:00,879
2021-12-03 00:00:00+00:00,880
2021-12-04 00:00:00+00:00,881
2021-12-05 00:00:00+00:00,882
2021-12-07 00:00:00+00:00,885
2021-12-08 00:00:00+00:00,886
2021-12-10 00:00:00+00:00,887
2021-12-12 00:00:00+00:00,888
2021-12-14 00:00:00+00:00,889
2021-12-15 00:00:00+00:00,890
2021-12-17 00:00:00+00:00,891
2021-12-27 00:00:00+00:00,893
2021-12-28 00:00:00+00:00,894
2022-01-05 00:00:00+00:00,895
2022-01-13 00:00:00+00:00,896
2022-01-14 00:00:00+00:00,897
2022-01-16 00:00:00+00:00,898
2022-01-19 00:00:00+00:00,900
2022-01-21 00:00:00+00:00,901
2022-01-31 00:00:00+00:00,903
2022-02-07 00:00:00+00:00,904
2022-02-09 00:00:00+00:00,905
2022-02-10 00:00:00+00:00,906
2022-02-11 00:00:00+00:00,907
2022-02-13 00:00:00+00:00,908
2022-02-16 00:00:00+00:00,910
2022-02-20 00:00:00+00:00,911
2022-02-21 00:00:00+00:00,912
2022-02-22 00:00:00+00:00,913
2022-02-25 00:00:00+00:00,914
2022-03-01 00:00:00+00:00,915
2022-03-03 00:00:00+00:00,916
2022-03-07 00:00:00+00:00,917
2022-03-11 00:00:00+00:00,918
2022-03-15 00:00:00+00:00,920
2022-03-17 00:00:00+00:00,921
2022-03-18 00:00:00+00:00,922
2022-03-20 00:00:00+00:00,923
2022-03-21 00:00:00+00:00,924
2022-03-26 00:00:00+00:00,925
2022-03-27 00:00:00+00:00,926
2022-03-31 00:00:00+00:00,927
2022-04-08 00:00:00+00:00,929
2022-04-11 00:00:00+00:00,931
2022-04-14 00:00:00+00:00,932
2022-04-15 00:00:00+00:00,933
2022-04-16 00:00:00+00:00,934
2022-04-17 00:00:00+00:00,935
2022-04-22 00:00:00+00:00,936
2022-04-26 00:00:00+00:00,937
2022-05-05 00:00:00+00:00,939
2022-05-06 00:00:00+00:00,940
2022-05-09 00:00:00+00:00,941
2022-05-10 00:00:00+00:00,944
2022-05-11 00:00:00+00:00,945
2022-05-17 00:00:00+00:00,946
2022-05-23 00:00:00+00:00,947
2022-05-24 00:00:00+00:00,948
2022-05-28 00:00:00+00:00,950
2022-06-01 00:00:00+00:00,951
2022-06-02 00:00:00+00:00,952
2022-06-05 00:00:00+00:00,953
2022-06-06 00:00:00+00:00,955
2022-06-07 00:00:00+00:00,956
2022-06-10 00:00:00+00:00,957
2022-06-20 00:00:00+00:00,958
2022-06-23 00:00:00+00:00,959
2022-06-26 00:00:00+00:00,960
2022-06-27 00:00:00+00:00,961
2022-06-28 00:00:00+00:00,962
2022-07-04 00:00:00+00:00,963
2022-07-05 00:00:00+00:00,964
2022-07-11 00:00:00+00:00,965
2022-07-12 00:00:00+00:00,966
2022-07-14 00:00:00+00:00,967
2022-07-17 00:00:00+00:00,968
2022-07-18 00:00:00+00:00,969
2022-07-19 00:00:00+00:00,970
2022-07-20 00:00:00+00:00,971
2022-07-28 00:00:00+00:00,972
2022-08-02 00:00:00+00:00,973
2022-08-04 00:00:00+00:00,974
2022-08-05 00:00:00+00:00,975
2022-08-06 00:00:00+00:00,976
2022-08-07 00:00:00+00:00,978
2022-08-11 00:00:00+00:00,979
2022-08-12 00:00:00+00:00,981
2022-08-13 00:00:00+00:00,982
2022-08-16 00:00:00+00:00,983
2022-08-17 00:00:00+00:00,984
