time_iso8601,stars_cumulative
2019-01-02 00:00:00+00:00,1626
2019-01-03 00:00:00+00:00,1627
2019-01-04 00:00:00+00:00,1631
2019-01-05 00:00:00+00:00,1636
2019-01-06 00:00:00+00:00,1638
2019-01-07 00:00:00+00:00,1640
2019-01-08 00:00:00+00:00,1644
2019-01-09 00:00:00+00:00,1650
2019-01-10 00:00:00+00:00,1656
2019-01-11 00:00:00+00:00,1659
2019-01-12 00:00:00+00:00,1660
2019-01-13 00:00:00+00:00,1662
2019-01-14 00:00:00+00:00,1663
2019-01-16 00:00:00+00:00,1668
2019-01-17 00:00:00+00:00,1675
2019-01-18 00:00:00+00:00,1678
2019-01-19 00:00:00+00:00,1682
2019-01-20 00:00:00+00:00,1683
2019-01-21 00:00:00+00:00,1684
2019-01-22 00:00:00+00:00,1689
2019-01-23 00:00:00+00:00,1696
2019-01-24 00:00:00+00:00,1702
2019-01-25 00:00:00+00:00,1706
2019-01-26 00:00:00+00:00,1707
2019-01-27 00:00:00+00:00,1708
2019-01-28 00:00:00+00:00,1710
2019-01-29 00:00:00+00:00,1713
2019-01-30 00:00:00+00:00,1717
2019-01-31 00:00:00+00:00,1723
2019-02-01 00:00:00+00:00,1731
2019-02-02 00:00:00+00:00,1733
2019-02-04 00:00:00+00:00,1735
2019-02-05 00:00:00+00:00,1741
2019-02-06 00:00:00+00:00,1742
2019-02-07 00:00:00+00:00,1745
2019-02-08 00:00:00+00:00,1747
2019-02-09 00:00:00+00:00,1749
2019-02-10 00:00:00+00:00,1750
2019-02-11 00:00:00+00:00,1753
2019-02-12 00:00:00+00:00,1760
2019-02-13 00:00:00+00:00,1763
2019-02-14 00:00:00+00:00,1768
2019-02-15 00:00:00+00:00,1772
2019-02-16 00:00:00+00:00,1773
2019-02-17 00:00:00+00:00,1775
2019-02-18 00:00:00+00:00,1776
2019-02-19 00:00:00+00:00,1781
2019-02-20 00:00:00+00:00,1787
2019-02-21 00:00:00+00:00,1791
2019-02-22 00:00:00+00:00,1793
2019-02-23 00:00:00+00:00,1796
2019-02-24 00:00:00+00:00,1799
2019-02-25 00:00:00+00:00,1801
2019-02-26 00:00:00+00:00,1806
2019-02-27 00:00:00+00:00,1809
2019-02-28 00:00:00+00:00,1811
2019-03-01 00:00:00+00:00,1818
2019-03-02 00:00:00+00:00,1825
2019-03-04 00:00:00+00:00,1827
2019-03-05 00:00:00+00:00,1834
2019-03-06 00:00:00+00:00,1837
2019-03-07 00:00:00+00:00,1843
2019-03-08 00:00:00+00:00,1848
2019-03-09 00:00:00+00:00,1856
2019-03-10 00:00:00+00:00,1862
2019-03-11 00:00:00+00:00,1868
2019-03-12 00:00:00+00:00,1871
2019-03-13 00:00:00+00:00,1874
2019-03-14 00:00:00+00:00,1879
2019-03-15 00:00:00+00:00,1885
2019-03-16 00:00:00+00:00,1886
2019-03-17 00:00:00+00:00,1887
2019-03-18 00:00:00+00:00,1889
2019-03-19 00:00:00+00:00,1910
2019-03-20 00:00:00+00:00,1926
2019-03-21 00:00:00+00:00,1928
2019-03-22 00:00:00+00:00,1938
2019-03-23 00:00:00+00:00,1942
2019-03-24 00:00:00+00:00,1945
2019-03-25 00:00:00+00:00,1954
2019-03-26 00:00:00+00:00,1970
2019-03-27 00:00:00+00:00,1978
